aid,view,danmaku,reply,favorite,coin,share
748,8930,83,95,42,4,11
751,50002,1594,119,444,22,16
753,4092,71,38,12,2,5
754,1546,109,18,15,2,5
756,2055,73,17,9,3,5
758,1051,19,32,65,8,11
757,1567,15,18,18,5,8
760,18215,635,53,478,13,6
762,1997,32,17,28,3,5
761,33471,4429,106,154,5,2
763,1747,12,12,14,2,8
764,2128,39,20,51,3,7
765,2353,70,18,10,3,3
769,3365,74,25,14,4,6
772,1304,9,11,14,3,5
774,1887,97,29,33,5,5
775,2002,57,31,18,2,7
776,23916,603,78,559,35,23
767,--,81,24,70,4,2
766,12688,329,52,240,17,10
778,424496,9365,1751,1343,357,274
780,4059,49,43,32,5,5
784,108763,13481,469,3787,330,51
783,307582,8575,686,3530,298,356
788,22106,586,200,255,26,12
792,3961,28,23,13,1,12
793,3045,751,33,14,3,4
796,1806,63,19,9,2,8
790,4435,43,36,53,5,8
791,3003,58,14,12,4,3
786,543,121,18,30,3,7
798,1908,3,14,8,2,3
799,84794,2679,282,4610,519,112
800,4113,189,65,30,4,6
801,4266,82,126,34,4,7
802,1356,194,44,9,2,4
803,5660,65,69,37,4,8
804,3876,86,52,87,10,9
807,1834,42,35,7,3,5
806,1037,6,39,5,2,4
805,1590,92,31,6,2,4
811,2050,95,86,10,2,8
812,2350,20,62,16,3,4
814,2304,14,51,26,10,6
815,4662,73,39,18,21,1
816,571008,18667,3969,14378,3180,943
817,9123,273,567,154,12,19
819,2866,13,84,18,18,2
820,16033,51,103,30,15,5
821,11472,899,92,156,28,15
822,1864,65,71,31,2,5
825,8045,464,155,42,4,7
823,1579,21,79,18,5,7
824,1531,8,83,22,5,6
829,6324,246,64,32,9,7
831,3089,58,98,28,5,2
832,2616,77,38,15,2,4
833,1212,12,18,5,1,3
834,11829,39,19,25,1,7
836,16374,205,51,15,361,5
837,3035,37,11,24,1,3
839,3376,9,8,8,2,5
838,1441,39,9,17,2,3
840,4214,162,27,57,1,6
842,95262,991,310,2130,352,223
843,4566,22,14,18,21,4
847,1581,22,28,28,4,3
841,974,12,11,8,3,4
851,997,20,11,6,2,1
856,7083,49,19,15,7,4
855,2615,8,16,8,9,6
849,3226,301,64,93,13,8
853,393868,12856,2378,13246,1960,921
850,2448,94,18,76,3,6
857,3705,13,7,7,47,2
854,5874,74,19,28,4,7
858,3075,67,12,12,26,6
859,2616,21,11,39,3,3
860,9594,329,33,49,7,9
848,82453,6251,606,2912,224,106
866,9409,301,42,136,22,5
865,1437,13,18,14,3,5
868,4742,110,11,7,15,3
870,100581,12519,255,2712,93,30
876,3310,112,28,122,9,15
878,250332,10387,295,1112,117,87
880,1121,18,12,13,2,4
882,1521,41,20,6,1,5
867,3256,27,29,60,32,16
883,8107,299,35,65,9,8
881,6961,284,33,68,3,4
874,--,68,21,13,21,4
884,1719,8,34,18,4,9
781,41132,1235,101,385,47,22
885,1384,21,20,37,2,6
888,38873,490,273,398,27,34
890,1720,20,26,25,3,8
891,2369,96,26,40,2,7
893,51229,2057,537,1360,152,66
892,1026,15,23,13,3,5
894,4959,2,37,14,1,8
896,4347,39,41,36,1,9
897,95731,3477,822,3539,712,89
898,2888,30,21,30,4,8
899,7614,208,46,121,14,9
900,5488,36,51,21,11,7
901,20983,57,231,76,214,40
904,4830,197,26,14,3,0
905,2304,52,23,9,3,5
911,48458,370,422,226,22,16
912,4962,77,74,27,4,6
909,19997,10,18,50,6,1
908,1472,19,32,6,2,6
916,2741,25,35,13,7,1
917,4578,562,17,8,3,3
918,11281,878,143,47,11,7
921,1920,20,50,8,4,6
922,5615,38,33,41,3,7
923,4512,532,37,14,2,2
925,4407,17,57,102,7,16
926,4034,52,51,49,3,4
928,1552,4,57,25,2,4
852,2956,8,36,14,4,6
968,45059,1761,414,1267,425,117
971,--,43,62,45,43,8
972,3559,41,18,11,25,7
973,2453,26,17,3,25,5
976,2088,42,14,13,1,6
782,12654,55,19,160,21,14
977,4952,50,19,73,20,11
978,2461,28,12,14,5,4
975,10363,148,58,106,14,6
974,3203,120,33,16,6,2
979,2761,104,23,11,6,6
980,5525,247,62,37,6,7
981,1842,8,35,16,6,3
982,1680,40,25,12,12,1
886,4067,65,114,39,6,6
983,1991,98,26,27,6,4
984,13531,17,11,37,4,5
989,16341,46,69,76,7,15
990,2694,27,53,23,4,6
991,6478,174,67,69,7,4
992,3477,68,35,98,19,5
993,3793,22,37,12,5,9
996,1292,77,16,4,2,7
995,14452,161,88,393,56,27
999,43442,829,563,375,43,8
986,5585,157,32,65,13,6
1001,10868,73,169,43,8,10
1002,51437,2706,212,2724,184,210
1013,60571,1351,238,822,114,99
1015,3230,112,50,43,13,4
1016,4285,85,58,31,5,6
1017,2399,84,57,35,3,6
1018,1842,19,59,16,29,8
1020,7664,42,29,28,2,8
1019,2203,81,56,69,9,11
1023,1738,10,37,15,7,3
1022,4867,34,58,63,4,7
1026,14142,149,58,212,12,42
1027,3201,13,40,19,4,2
1028,4839,92,50,34,6,5
1025,2902,84,118,43,5,6
1029,17540,449,102,129,16,22
1030,27456,544,93,467,12,31
1031,4818,2,42,50,4,0
1032,1665,45,16,36,2,9
1033,8466,10,32,42,2,7
1035,145083,24698,276,1609,67,10
1034,14022,634,50,186,19,11
1036,5351,122,55,174,18,14
1038,7679,58,60,25,6,9
1039,3137,29,18,2,14,3
1037,1796,11,9,17,2,4
1041,12929,876,78,145,24,19
1040,11078,57,276,118,38,13
1042,8741,55,36,85,7,6
1048,7911,31,30,16,3,3
1050,--,956,159,457,18,13
1055,3270,47,16,85,10,16
1058,3384,31,8,18,1,3
1057,5114,151,42,13,17,5
1061,126360,4880,138,1032,33,6
1060,10977,24,26,75,5,10
1059,46900,2904,85,182,11,9
1063,2495,154,20,31,7,7
1064,8535,428,99,29,61,3
1066,4220,4,33,14,6,5
1072,4489,10,28,21,45,8
1076,84596,2146,283,1904,376,230
1079,930,5,11,5,2,4
1078,3714,3,11,10,9,4
1080,37608,116,102,46,11,6
1083,1952,32,13,47,14,6
1082,36928,3869,63,809,54,26
1084,6502,50,33,52,5,7
1085,2360,28,28,15,4,2
1086,3169,231,52,55,3,5
1090,12360,27,52,247,18,3
1091,873,97,13,4,5,2
1092,7751,40,44,26,4,9
1094,5016,59,25,95,9,7
1096,9114,94,51,79,21,5
1095,2658,34,29,34,3,9
1099,9974,1140,71,190,7,5
1098,72498,3522,66,1496,117,32
1101,14713,39,38,106,9,15
1102,6216,79,58,226,6,13
1105,2011,27,22,13,2,6
1106,3072,1,38,9,3,5
1108,5851,165,62,54,6,1
1109,3331,23,40,84,18,7
1107,6065,209,81,27,2,4
1113,19778,0,465,114,27,5
1112,1867,20,51,11,7,6
